p_red_cards,rater1,rater2,height,weight,position
0.0,0.0,0.25,180.0,74.0,Midfielder
0.00872093023255814,0.25,0.25,176.0,74.0,Defender
0.02654867256637168,1.0,1.0,190.0,85.0,Defender
0.0,0.0,0.0,177.0,74.0,Defender
0.00872093023255814,0.75,0.75,175.0,70.0,Attacker
0.005813953488372093,0.0,0.25,173.0,72.0,Midfielder
0.005025125628140704,0.25,0.25,184.0,82.0,Attacker
0.010810810810810811,0.0,0.0,184.0,80.0,Goalkeeper
0.0,0.25,0.25,184.0,79.0,Defender
0.007792207792207792,0.0,0.0,177.0,76.0,Attacker
0.008333333333333333,0.75,1.0,190.0,96.0,Attacker
0.0,0.25,0.25,189.0,76.0,Attacker
0.003838771593090211,0.25,0.25,180.0,80.0,Attacker
0.0,0.5,0.75,185.0,82.0,Defender
0.0,0.75,0.75,172.0,67.0,Midfielder
0.0,1.0,1.0,181.0,81.0,Attacker
0.013513513513513514,0.25,0.25,185.0,77.0,Defender
0.0,0.0,0.0,186.0,81.0,Goalkeeper
0.005128205128205128,1.0,1.0,166.0,67.0,Defender
0.0,0.0,0.0,183.0,81.0,Attacker
0.0,0.0,0.25,193.0,88.0,Goalkeeper
0.005847953216374269,0.25,0.0,185.0,81.0,Attacker
0.0,0.0,0.25,189.0,85.0,Goalkeeper
0.012461059190031152,0.5,0.5,181.0,74.0,Attacker
0.004531722054380665,0.5,0.5,170.0,67.0,Defender
0.004761904761904762,0.75,0.75,180.0,65.0,Midfielder
0.0051813471502590676,0.0,0.25,198.0,83.0,Goalkeeper
0.004149377593360996,1.0,0.75,190.0,89.0,Defender
0.0038461538461538464,0.0,0.0,176.0,62.0,Defender
0.003663003663003663,0.5,0.5,177.0,71.0,Midfielder
0.004219409282700422,0.75,0.75,184.0,75.0,Defender
0.008333333333333333,0.0,0.0,182.0,82.0,Defender
0.0035971223021582736,0.0,0.0,182.0,76.0,Midfielder
0.0136986301369863,0.0,0.0,189.0,80.0,Goalkeeper
0.004524886877828055,0.0,0.0,175.0,75.0,Defender
0.0,0.25,0.25,178.0,70.0,Defender
0.0,1.0,1.0,179.0,76.0,Attacker
0.004629629629629629,1.0,1.0,176.0,72.0,Defender
0.008695652173913044,0.25,0.25,181.0,75.0,Midfielder
0.0,1.0,1.0,184.0,77.0,Attacker
0.0,0.25,0.25,177.0,70.0,Defender
0.009823182711198428,0.25,0.25,188.0,90.0,Defender
0.0,0.75,0.75,188.0,80.0,Defender
0.0,0.25,0.25,184.0,77.0,Defender
0.0,1.0,1.0,177.0,71.0,Goalkeeper
0.007067137809187279,0.25,0.25,180.0,71.0,Midfielder
0.006289308176100629,0.0,0.25,187.0,83.0,Defender
0.0,0.0,0.0,183.0,70.0,Defender
0.0,0.25,0.25,192.0,85.0,Attacker
0.0,0.0,0.0,185.0,75.0,Midfielder
0.0,0.0,0.0,184.0,87.0,Defender
0.0016366612111292963,0.25,0.25,183.0,79.0,Midfielder
0.0,0.25,0.25,188.0,81.0,Defender
0.0,0.25,0.25,178.0,72.0,Midfielder
0.004048582995951417,0.0,0.0,188.0,80.0,Goalkeeper
0.0,0.25,0.25,175.0,72.0,Midfielder
0.010169491525423728,0.0,0.0,187.0,80.0,Defender
0.007407407407407408,0.0,0.0,197.0,90.0,Defender
0.0028011204481792717,0.25,0.25,172.0,66.0,Midfielder
0.01680672268907563,0.0,0.0,180.0,75.0,Midfielder
0.0,0.0,0.0,190.0,78.0,Goalkeeper
0.006042296072507553,0.5,0.5,180.0,69.0,Defender
0.0,0.0,0.25,182.0,78.0,Midfielder
0.00228310502283105,0.25,0.25,177.0,69.0,Midfielder
0.008888888888888889,0.25,0.25,173.0,64.0,Defender
0.007874015748031496,0.25,0.25,180.0,77.0,Defender
0.0,0.0,0.0,190.0,79.0,Goalkeeper
0.00390625,0.0,0.0,180.0,79.0,Midfielder
0.0,0.75,0.75,175.0,70.0,Midfielder
0.0,0.25,0.25,175.0,71.0,Midfielder
0.0,0.25,0.25,190.0,87.0,Defender
0.003215434083601286,0.25,0.25,191.0,92.0,Goalkeeper
0.0025252525252525255,0.5,0.5,186.0,75.0,Attacker
0.00510204081632653,0.75,0.75,172.0,69.0,Midfielder
0.013636363636363636,0.5,0.25,181.0,76.0,Attacker
0.0,0.25,0.25,182.0,76.0,Midfielder
0.0,0.25,0.25,180.0,75.0,Midfielder
0.004464285714285714,0.25,0.25,185.0,73.0,Midfielder
0.006369426751592357,0.5,0.5,183.0,75.0,Defender
0.001718213058419244,0.25,0.25,193.0,91.0,Goalkeeper
0.0,0.0,0.0,193.0,95.0,Goalkeeper
0.016129032258064516,0.0,0.0,193.0,79.0,Goalkeeper
0.0,0.25,0.25,176.0,71.0,Midfielder
0.007194244604316547,0.5,0.5,189.0,78.0,Attacker
0.007614213197969543,0.0,0.0,182.0,78.0,Defender
0.0,0.75,0.75,174.0,71.0,Defender
0.0024271844660194173,0.0,0.25,195.0,85.0,Defender
0.0,0.0,0.0,176.0,75.0,Midfielder
0.0078125,1.0,1.0,178.0,69.0,Defender
0.0,0.25,0.25,175.0,68.0,Attacker
0.021052631578947368,0.5,0.5,194.0,85.0,Defender
0.0,0.25,0.25,172.0,70.0,Defender
0.015384615384615385,0.25,0.5,168.0,65.0,Midfielder
0.0,0.0,0.25,186.0,70.0,Attacker
0.0,0.25,0.25,178.0,64.0,Attacker
0.0029411764705882353,0.25,0.25,189.0,73.0,Midfielder
0.004830917874396135,0.75,0.75,178.0,74.0,Attacker
0.02702702702702703,0.25,0.25,187.0,84.0,Defender
0.004672897196261682,0.0,0.0,191.0,88.0,Goalkeeper
0.006172839506172839,0.0,0.0,182.0,75.0,Midfielder
0.0,0.25,0.25,174.0,70.0,Midfielder
0.002631578947368421,0.75,0.75,185.0,85.0,Attacker
0.004545454545454545,0.25,0.25,175.0,71.0,Attacker
0.0,0.0,0.0,176.0,65.0,Midfielder
0.003484320557491289,0.25,0.25,182.0,79.0,Defender
0.0,0.0,0.25,185.0,77.0,Defender
0.021739130434782608,0.5,0.5,184.0,84.0,Defender
0.0,0.5,0.5,179.0,81.0,Defender
0.0,0.5,0.25,196.0,89.0,Goalkeeper
0.01020408163265306,1.0,1.0,184.0,78.0,Goalkeeper
0.006711409395973154,0.0,0.25,189.0,79.0,Defender
0.008583690987124463,0.5,0.5,171.0,75.0,Attacker
0.0037735849056603774,0.5,0.25,177.0,75.0,Attacker
0.01282051282051282,0.25,0.25,185.0,78.0,Defender
0.005479452054794521,1.0,1.0,190.0,88.0,Attacker
0.006756756756756757,0.25,0.25,173.0,76.0,Defender
0.008771929824561403,0.0,0.0,182.0,71.0,Defender
0.025210084033613446,0.25,0.25,182.0,78.0,Goalkeeper
0.008849557522123894,0.5,0.5,183.0,72.0,Defender
0.006369426751592357,0.25,0.25,192.0,87.0,Goalkeeper
0.005649717514124294,0.5,0.5,181.0,77.0,Defender
0.0,0.75,0.75,177.0,77.0,Midfielder
0.0018552875695732839,0.25,0.25,179.0,75.0,Midfielder
0.0,0.5,0.5,180.0,68.0,Midfielder
0.0,1.0,1.0,181.0,75.0,Midfielder
0.0031746031746031746,1.0,1.0,170.0,70.0,Midfielder
0.0,0.75,0.75,191.0,90.0,Midfielder
0.0064516129032258064,0.75,0.75,194.0,84.0,Attacker
0.01532567049808429,1.0,1.0,180.0,76.0,Midfielder
0.0,0.75,0.75,191.0,80.0,Goalkeeper
0.0,0.5,0.5,178.0,83.0,Attacker
0.006172839506172839,1.0,1.0,188.0,79.0,Attacker
0.011111111111111112,0.25,0.25,185.0,79.0,Defender
0.0029411764705882353,0.0,0.0,186.0,77.0,Midfielder
0.0030303030303030303,0.25,0.0,180.0,71.0,Defender
0.0,0.0,0.0,175.0,65.0,Defender
0.0,0.5,0.5,193.0,90.0,Defender
0.013888888888888888,0.75,0.75,190.0,83.0,Attacker
0.0024330900243309003,0.0,0.0,186.0,84.0,Defender
0.0,0.0,0.0,189.0,80.0,Midfielder
